name	intl_name	brand_name	brand_intl_name	year_month	rank	score	f1	f2	f3	f4	f5	f6	flavour_tags	checkin_count	pictures	similar_brands	id	similar_brand_taste
上川大雪	Kamikawataisetsu	北海道	Hokkaido	202001	1	4.299968719482422	0.5161028504371643	0.4847632944583893	0.2030293345451355	0.4194809794425965	0.2760851979255676	0.4530277848243714	|グイグイ|メロン|フレッシュ|上品|丸み|フルーティ|旨味|甘味|酸味|マスカット|ガス|派手|若い|スッキリ|クリーミー|バランス|じっくり|苦味|スイスイ|リンゴ	117	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2NX31rUgKjVsRw|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/21uvaFXnDQVUkw|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2fP6gTGBkdGYOQ	加茂錦|而今|陸奥八仙|宮寒梅|十四代	8685	上川大雪|東洋美人|十四代|冩楽|笑四季|Ohmine Junmai|川中島|豊明|至|一白水成
國稀	Kunimare	北海道	Hokkaido	202001	2	4.099462985992432	0.18775025010108948	0.3048584759235382	0.4171554744243622	0.5399348735809326	0.5274909734725952	0.35779330134391785	|辛口|蜜|スッキリ|力強い|旨味|ゴクゴク|洋梨|若い|じっくり|薄い|円やか|ちびちび|酸味|深み|苦味|まろやか|複雑|まったり|しっかり|柔らかい	210	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/14wSWJyK0n9iRJ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2dHaPkJqgdEOS6|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1DeujaIBuVPrFI	月山|黒牛|龍力|谷川岳|春鹿	1928	國稀|黎明|越前岬|鷹来屋|宮の雪|初孫|住吉|春鶯囀|長良川|辰泉
男山	Otokoyama	北海道	Hokkaido	202001	3	4.095613956451416	0.277607262134552	0.3944351077079773	0.3270922005176544	0.5208351612091064	0.4542698860168457	0.42747563123703	|辛口|酸味|甘味|旨味|スッキリ|冷酒|常温|ヨーグルト|ヤクルト|熱燗|ひろがる|バランス|じわじわ|フルーティ|控えめ|円やか|ちびちび|ツン|濃厚|コク	397	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2nh7XDaJlQN6zT|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/3xnHoPuN0mmpo|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2w2oapekek5Kxc	春鹿|まんさくの花|酔鯨|加賀鳶|いづみ橋	2	男山|八海山|喜楽長|杉勇|神聖|大那|如空|千代むすび|七冠馬|白隠正宗
国士無双	Kokushimuso	北海道	Hokkaido	202001	4	4.079436302185059	0.3879984319210053	0.25648656487464905	0.16193047165870667	0.3725110292434693	0.593511164188385	0.5161689519882202	|辛口|洋梨|ピリリ|フルーティ|荒々しい|スパイシー|さらり|果物|酸味|さわやか|スイスイ|ミルク|円やか|ほのか|丸み|なめらか|コク|まろやか|心地よい|渋み	208	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/194dYBpjKzEsf2|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2uvDyECN7Akg8w|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/OgNx1uWtet5Kd	上喜元|酔心|澤乃井|加賀鳶|司牡丹	10	国士無双|真野鶴|無想|藍の郷|あら玉|福祝|幻の瀧|高清水|きりんざん|北光正宗
北の錦	Kitanonishiki	北海道	Hokkaido	202001	5	4.055022716522217	0.3442624509334564	0.39321020245552063	0.5012394189834595	0.5642642974853516	0.2119099646806717	0.3351538181304932	|とろみ|荒々しい|力強い|ほのか|薄い|トロピカル|ヨーグルト|濃厚|苦味|チーズ|旨味|リンゴ|紹興酒|こってり|カラメル|クリーミー|甘味|しっかり|アミノ酸|冷酒	85	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1JtPTaIm9Z7kez|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2TBOCcMqAuLt94|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/21hwrvtaPsSy4m	誠鏡|原田|龍力|旦|天の戸	11	北の錦|爛漫|木戸泉|松みどり|芳水|千福|玉櫻|磐城壽|豊久仁|喜久酔
二世古	Niseko	北海道	Hokkaido	202001	6	4.026027202606201	0.3508962392807007	0.4744525253772736	0.41492903232574463	0.4477023482322693	0.3221823275089264	0.4187621176242829	|栗|砂糖|旨味|しっかり|複雑|マスカット|辛口|円やか|綺麗|キリリ|甘味|どっしり|フルーティ|ずっしり|酸味|燗冷まし|さわやか|スッキリ|ガス|カラメル	221	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2hatuHnoRgd6bn|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/7127ntxTk84zd|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/utbzHlrpoNCAx	るみ子の酒|雁木|篠峯|喜楽長|会津中将	1611	弥右衛門|会津中将|遊穂|春霞|梵|高砂|花泉|二世古|鏡山|大関
北の誉	Kitanohomare	北海道	Hokkaido	202001	7	4.024529933929443	0.2963986694812775	0.3596402108669281	0.2554837763309479	0.7662781476974487	0.2480704486370087	0.26232361793518066	|芳香|洋梨|淡い|クリーミー|昔ながら|熱燗|渋み|冷酒|旨味|するする|穀物|なめらか|控えめ|上品|辛口|ヨーグルト|柔らかい|ふんわり|軽快|穏やか	67	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/30bpoCOEMibMnK|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/143pMhgrbQe4Fx|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/mJ4SoH4o0rxQR	松竹梅|銀嶺立山|澤乃井|英勲|千徳	7	北の誉|酔仙|緑川|富翁|雪中梅|鷗樹|白馬錦|たけのそのパンダフェスティバル|水鳥記|六歌仙
北の勝	Kitanokatsu	北海道	Hokkaido	202001	8	4.024529933929443							|マイルド|フレッシュ|花|豊か|キレ|フルーティ|ガス|スッキリ|軽快|辛口|甘味|バランス|まろやか|しっかり|酸味|旨味	63	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Auvs7lhTTSSGY|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/13ZEsX0D3lEG0X|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2CZYbaG5GUUgYA	墨廼江|加茂錦|繁枡|大信州|土佐しらぎく	1562	
千歳鶴	Chitosetsuru	北海道	Hokkaido	202001	9	4.018902778625488	0.2816706597805023	0.2632961571216583	0.22991377115249634	0.4661176204681397	0.6363363862037659	0.4198651611804962	|ゴクゴク|じわじわ|セメダイン|キリリ|複雑|豊か|辛口|ツン|どっしり|華やか|さらり|リンゴ|熱燗|控えめ|ふくよか|柔らかい|フレッシュ|余韻|穏やか|コク	81	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2xB5buOm3hy1Y5|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/osBusIY1w9IFn|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/WwHo7RGSObewB	福祝|巌|〆張鶴|七本鎗|黄桜	1734	千歳鶴|吉乃川|銀盤|榮川|谷川岳|白鷹|高清水|司牡丹|〆張鶴|南
福司	福司	北海道	Hokkaido	202001	10	4.0125675201416025	0.2534118592739105	0.3826322555541992	0.42035648226737976	0.44174858927726746	0.4816322922706604	0.4307712912559509	|ハチミツ|穀物|ミルク|甘味|力強い|キャラメル|ガス|ふくよか|キレ|フレッシュ|優しい|あっさり|余韻|スッキリ|コク|ピリリ|ヨーグルト|さわやか|柔らかい|辛口	80	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/23ZV6TLMr9omI4|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2wRaFE3RKQKPez|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/28VewrhkSVMEvC	磐城寿|蒼天伝|小左衛門|房島屋|御前酒	2647	麓井|川亀|苗加屋|千代むすび|長門峡|想天坊|奥の松|出雲富士|播州一献|男山
